score,id,name,status,link,urlname,description,created,city,untranslated_city,country,localized_country_name,localized_location,state,join_mode,visibility,lat,lon,members,organizer_id,organizer_name,organizer_bio,timezone,category_id,category_name
1.0,10178832,Bangkok Javascript,active,https://www.meetup.com/Bangkok-Javascript/,Bangkok-Javascript,<p>Community who live and fall in love with Javascript. Want to share what and why Javascript is awesome not just for fun but for long time relationship :)</p>,1378744009,Bangkok,Bangkok,TH,Thailand,"Bangkok, Thailand",,open,public,13.73,100.5,2061,89793942,Sira Sujjinanont,,Asia/Bangkok,34,Tech
1.0,19133504,Bangkok Cultural Exchange Meetup,active,https://www.meetup.com/Bangkok-Cultural-Exchange-Meetup/,Bangkok-Cultural-Exchange-Meetup,"<p>“This is a group for anyone interested in culture exchange, travel, handicrafts etc. I started this group because to meet new friend from around the world and practices English. Looking forward to join activities with everybody.”</p>",1447850426,Bangkok,Bangkok,TH,Thailand,"Bangkok, Thailand",,open,public,13.73,100.5,12483,152793732,Fai Puntida,,Asia/Bangkok,16,Language & Ethnic Identity
1.0,19660001,Tech@Agoda,active,https://www.meetup.com/TechAtAgoda/,TechAtAgoda,"<p>Agoda is the largest and fastest growing online hotel booking platform in Asia, and as a Priceline Group company, we are part of the largest online travel company in the world.</p>
<p>We have a lot of knowledge to share, come and be a part of our community.</p>",1457065999,Bangkok,Bangkok,TH,Thailand,"Bangkok, Thailand",,open,public,13.73,100.5,1964,49960032,Leonid Olevsky,,Asia/Bangkok,34,Tech
1.0,16185312,ThaiPy - Bangkok Python Meetup,active,https://www.meetup.com/ThaiPy-Bangkok-Python-Meetup/,ThaiPy-Bangkok-Python-Meetup,"<p>Monthly meetup for those using python, learning python of just py-curious. Python is one of more popular programming languages in the word and rising further, being used in fields such as web, science, big data, dev-ops and digital entertainment. We to have talks from beginners to advanceก and provide a friendly atmosphere to meet and network with your fellow pythonistas. <br> Meetup รายเดือนสำหรับผู้ที่ใช้ภาษา Python หรือผู้ที่อยากเรียนรู้ หรือแม้แต่ผู้ที่แค่อยากรู้ว่า Python คืออะไร Python เป็นหนึ่งในภาษาเขียนโปรแกรมที่ได้รับความนิยมมากขึ้นเรื่อยๆ ซึ่งถูกนำมาใช้ในด้านของการพัฒนา website, งานด้านวิทยาศาสตร์, ข้อมูลขนาดใหญ่, dev-ops และความบันเทิงระบบดิจิตอล เราจะมีการพูดคุยแนะนำจากระดับ beginners ถึงระดับ advance ในบรรยากาศที่เป็นกันเองเพื่อคุณจะได้ทำความรู้จัก และ network กับ Pythonistas เช่นคุณ</p>
<p>Also join the <a href=""https://www.facebook.com/groups/458543967627125/"">facebook group</a></p>",1407169912,Bangkok,Bangkok,TH,Thailand,"Bangkok, Thailand",,open,public,13.73,100.5,3403,1811068,Dylan Jay,I run the sydney python users group sypy.,Asia/Bangkok,34,Tech
1.0,8440372,Bangkok Badminton,active,https://www.meetup.com/Bangkok-Badminton/,Bangkok-Badminton,<p>A group for people living in Thailand who want to meet play some recreational (or possibly competitive) badminton. There's tons of courts around the city. With just four or more people we can get a great doubles meetup going. All levels welcome. The founder of this group is low-intermediate to intermediate at best!!</p>,1368284283,Bangkok,Bangkok,TH,Thailand,"Bangkok, Thailand",,open,public,13.73,100.5,2228,54066482,Ryan Coughlin,,Asia/Bangkok,32,Sports & Recreation
1.0,17376972,Bangkok Young Expats Meetup,active,https://www.meetup.com/Bangkok-Young-Expats-Meetup/,Bangkok-Young-Expats-Meetup,"<p>This is a group where international young people meet, have a good time, search for professional inspirations, share their work and life experience, or make a plan for even more adventure and fun during their stay in Bangkok</p>
<p>Look forward to seeing you at our upcoming events</p>
<p>CLICK LINKS BELOW TO SEE MEMBER REVIEWS</p>
<p><a class=""embedded"" href=""https://www.youtube.com/watch?v=FVXFyh_6VKU&amp;list=PL0_NRE_GPkMWKCT76n8ui1RRJlruo0_vj"">https://www.youtube.com/watch?v=FVXFyh_6VKU&amp;list=PL0_NRE_GPkMWKCT76n8ui1RRJlruo0_vj</a></p>
<p>Please click on the link below for a snapshot of who are and what we do?</p>
<p><a class=""embedded"" href=""https://www.youtube.com/watch?v=G2wEcW9ReUU"">https://www.youtube.com/watch?v=G2wEcW9ReUU</a></p>
<p>What should you expect from our Meetups? Why and how are we different?</p>
<p><a class=""embedded"" href=""https://www.youtube.com/watch?v=Z3IYczPs-hc"">https://www.youtube.com/watch?v=Z3IYczPs-hc</a></p>",1412349021,Bangkok,Bangkok,TH,Thailand,"Bangkok, Thailand",,open,public_limited,13.73,100.5,5630,82617992,Organiser - Dan,,Asia/Bangkok,31,Socializing
1.0,30871108,Friends Fun Bangkok (FFB),active,https://www.meetup.com/Friends-Fun-Bangkok-FFB/,Friends-Fun-Bangkok-FFB,"<p>We are a diverse group of expats and locals meeting together for the past 1.5 years in Bangkok. We welcome all newcomers, visitors, expats and locals to join us at our get togethers sharing fun times, great conversation, good coffee and delicious food all in an atmosphere of warm hospitality, where all are thought of as friends.</p> 
<p>With multiple weekly, monthly and special events you are sure to find some that fits your schedule and lifestyle. And with suggestions from our members, we are always coming up with new, unique, and fun events. We have many surprises already planned for 2019 to go along with our great existing events.</p> 
<p>All we ask is that you RSVP if attending, and cancel within 24 hours if your plans change. We work closely with our venues and they appreciate us letting them know how many to expect so the event is as successful as possible.</p> 
<p>We look forward to old friends and new joining us in 2019 for many great times together, creating new memories while enjoying all the fantastic city of Bangkok has to offer.</p>",1546932947,Bangkok,Bangkok,TH,Thailand,"Bangkok, Thailand",,open,public,13.73,100.5,2069,264031683,FFB Bangkok,,Asia/Bangkok,10,Food & Drink
1.0,1814876,BKK Volleyball Social Group (Bangkok),active,https://www.meetup.com/BKK-Volleyball/,BKK-Volleyball,"<p>BKK Volleyball was created to find players in the Bangkok area who want to play beach or sand and now &nbsp;indoor volleyball is also availavle . Volleyball is a team sport and a great way to meet new other likeminded people. Games can be played all over city of Bangkok.&nbsp;</p>
<p>Please note : We want a good flow of energy in the group. If players become confrontational and /or disrespect ful toward&nbsp;<span>the hosts, organizer or other players, he/she will be banned from the group for atleast 3 months.</span></p>
<p> <br></p>
<p> <br></p>",1302748129,Bangkok,Bangkok,TH,Thailand,"Bangkok, Thailand",,open,public,13.73,100.5,1918,12909434,Don,,Asia/Bangkok,32,Sports & Recreation
1.0,32078376,Badminton At YWCA,active,https://www.meetup.com/Badminton-At-YWCA/,Badminton-At-YWCA,"<p>Join badminton at YWCA at Bangkok, if you want enjoy on Saturday</p>",1559384905,Bangkok,Bangkok,TH,Thailand,"Bangkok, Thailand",,open,public,13.73,100.5,183,91655162,Alberto,,Asia/Bangkok,32,Sports & Recreation
1.0,3661182,The Original Bangkok Language Exchange by TAO,active,https://www.meetup.com/Bangkok-Language-Exchange-meetup/,Bangkok-Language-Exchange-meetup,"<p>Do you want to practice your language skills and share them with the others? If you speak Thai, English, French, Spanish, Mandarin, Japanese or any other language you are welcome to join and meet a new people share with us over a coffee, a drink or a meal , meeting with a new people over the world all nationality friendly group, and very easy to getting to know the people :)</p>
<p><strong>Oh... Why Us?</strong> How Easy? have you Ever get this problem i not a good person to talk with a stranger? so do i? ;; <strong>This Group</strong> we have a big Name Tag and private section for our meeting , so, everyone will getting to know each other very easily by simple way. cuz we have the name tag and the languages that you can speak, already, so Let start with us!</p>
<p>We meet at coffee shops, bars and restaurant where we spend a couple of hours chatting in any language, and we often go to have dinner together and you are free to chose if you want to join (we strongly suggest to come, we always have a great time together ;)</p>
<p>It is the best, most fun way to learn and make new friends at the same time. Many of us stay in touch with someone they met at the meetup and then met individually during the week to practice more on a one-on-one. You can take that opportunity too if you wish.</p>
<p>We are waiting for you!</p>
<p>Tao,</p>",1334314148,Bangkok,Bangkok,TH,Thailand,"Bangkok, Thailand",,open,public,13.73,100.5,8782,48269952,TAO,,Asia/Bangkok,16,Language & Ethnic Identity
1.0,29988943,Startups & Beer,active,https://www.meetup.com/Startups-Beer/,Startups-Beer,"<p>Startups &amp; Beer is a bi-monthly networking event gathering startup minded people over a beer. That's it. No presentation, no sales pitch, the conversation subject it yours. A perfect event to meet and connect with fellow entrepreneurs in a relaxing location, where you don't need to shout to be heard, with good beers &amp; food. </p>
<p>The event is completely free, and beers are offered at a discount.</p>",1538198654,Bangkok,Bangkok,TH,Thailand,"Bangkok, Thailand",,open,public,13.73,100.5,1520,78776232,Jerome Le Louer,,Asia/Bangkok,34,Tech
